variant,phase,step,epoch,loss
lora_r1,validation,0,0.0,1.4183354377746582
lora_r1,training,5,0.08,1.4265
lora_r1,training,10,0.16,1.3915
lora_r1,validation,10,0.16,1.4174597263336182
lora_r1,training,15,0.24,1.3576
lora_r1,training,20,0.32,1.398
lora_r1,validation,20,0.32,1.4128098487854004
lora_r1,training,25,0.4,1.4066
lora_r1,training,30,0.48,1.4566
lora_r1,validation,30,0.48,1.406967282295227
lora_r1,training,35,0.56,1.3805
lora_r1,training,40,0.64,1.4636
lora_r1,validation,40,0.64,1.4010297060012817
lora_r1,training,45,0.72,1.3379
lora_r1,training,50,0.8,1.4788
lora_r1,validation,50,0.8,1.396084189414978
lora_r1,training,55,0.88,1.4659
lora_r1,training,60,0.96,1.3706
lora_r1,validation,60,0.96,1.3923394680023193
lora_r1,training,65,1.032,1.4196
lora_r1,training,70,1.112,1.3903
lora_r1,validation,70,1.112,1.3904377222061157
lora_r1,training,75,1.192,1.4008
lora_r1,training,80,1.272,1.3678
lora_r1,validation,80,1.272,1.3890695571899414
lora_r1,training,85,1.3519999999999999,1.3944
lora_r1,training,90,1.432,1.3842
lora_r1,validation,90,1.432,1.3884172439575195
lora_r1,training,95,1.512,1.389
lora_r1,training,100,1.592,1.4121
lora_r1,validation,100,1.592,1.3880168199539185
lora_r1,training,105,1.6720000000000002,1.436
lora_r1,training,110,1.752,1.3769
lora_r1,validation,110,1.752,1.3883610963821411
lora_r1,training,115,1.8319999999999999,1.3911
lora_r1,training,120,1.912,1.401
lora_r1,validation,120,1.912,1.3880771398544312
lora_r1,training,125,1.992,1.4323
lora_r1,validation,126,2.0,1.3879177570343018
lora_r4,validation,0,0.0,1.4183354377746582
lora_r4,training,5,0.08,1.4263
lora_r4,training,10,0.16,1.3885
lora_r4,validation,10,0.16,1.4106765985488892
lora_r4,training,15,0.24,1.3489
lora_r4,training,20,0.32,1.3851
lora_r4,validation,20,0.32,1.397607684135437
lora_r4,training,25,0.4,1.3908
lora_r4,training,30,0.48,1.4344
lora_r4,validation,30,0.48,1.3891104459762573
lora_r4,training,35,0.56,1.3627
lora_r4,training,40,0.64,1.4468
lora_r4,validation,40,0.64,1.3835759162902832
lora_r4,training,45,0.72,1.3206
lora_r4,training,50,0.8,1.4639
lora_r4,validation,50,0.8,1.3798320293426514
lora_r4,training,55,0.88,1.4478
lora_r4,training,60,0.96,1.3535
lora_r4,validation,60,0.96,1.3777028322219849
lora_r4,training,65,1.032,1.4051
lora_r4,training,70,1.112,1.3698
lora_r4,validation,70,1.112,1.376134991645813
lora_r4,training,75,1.192,1.3818
lora_r4,training,80,1.272,1.3482
lora_r4,validation,80,1.272,1.375117540359497
lora_r4,training,85,1.3519999999999999,1.3754
lora_r4,training,90,1.432,1.3643
lora_r4,validation,90,1.432,1.3745330572128296
lora_r4,training,95,1.512,1.372
lora_r4,training,100,1.592,1.3926
lora_r4,validation,100,1.592,1.3742280006408691
lora_r4,training,105,1.6720000000000002,1.4181
lora_r4,training,110,1.752,1.357
lora_r4,validation,110,1.752,1.3743077516555786
lora_r4,training,115,1.8319999999999999,1.3707
lora_r4,training,120,1.912,1.383
lora_r4,validation,120,1.912,1.3741438388824463
lora_r4,training,125,1.992,1.4133
lora_r4,validation,126,2.0,1.3739041090011597
lora_r16,validation,0,0.0,1.4183354377746582
lora_r16,training,5,0.08,1.4255
lora_r16,training,10,0.16,1.3746
lora_r16,validation,10,0.16,1.393325686454773
lora_r16,training,15,0.24,1.3286
lora_r16,training,20,0.32,1.3701
lora_r16,validation,20,0.32,1.3814647197723389
lora_r16,training,25,0.4,1.3771
lora_r16,training,30,0.48,1.4191
lora_r16,validation,30,0.48,1.3749337196350098
lora_r16,training,35,0.56,1.3465
lora_r16,training,40,0.64,1.4328
lora_r16,validation,40,0.64,1.3710325956344604
lora_r16,training,45,0.72,1.3094
lora_r16,training,50,0.8,1.4531
lora_r16,validation,50,0.8,1.3677977323532104
lora_r16,training,55,0.88,1.4369
lora_r16,training,60,0.96,1.3428
lora_r16,validation,60,0.96,1.366723895072937
lora_r16,training,65,1.032,1.3866
lora_r16,training,70,1.112,1.3405
lora_r16,validation,70,1.112,1.366119384765625
lora_r16,training,75,1.192,1.3522
lora_r16,training,80,1.272,1.3187
lora_r16,validation,80,1.272,1.3661335706710815
lora_r16,training,85,1.3519999999999999,1.3461
lora_r16,training,90,1.432,1.3346
lora_r16,validation,90,1.432,1.3651655912399292
lora_r16,training,95,1.512,1.3438
lora_r16,training,100,1.592,1.361
lora_r16,validation,100,1.592,1.364966869354248
lora_r16,training,105,1.6720000000000002,1.3888
lora_r16,training,110,1.752,1.3266
lora_r16,validation,110,1.752,1.3651864528656006
lora_r16,training,115,1.8319999999999999,1.3412
lora_r16,training,120,1.912,1.3533
lora_r16,validation,120,1.912,1.3651334047317505
lora_r16,training,125,1.992,1.3843
lora_r16,validation,126,2.0,1.3647788763046265
full,validation,0,0.0,1.4183354377746582
full,training,5,0.08,1.4152
full,training,10,0.16,1.3991
full,validation,10,0.16,1.435116171836853
full,training,15,0.24,1.3603
full,training,20,0.32,1.4053
full,validation,20,0.32,1.4274777173995972
full,training,25,0.4,1.4237
full,training,30,0.48,1.4618
full,validation,30,0.48,1.4103158712387085
full,training,35,0.56,1.3661
full,training,40,0.64,1.4669
full,validation,40,0.64,1.4015499353408813
full,training,45,0.72,1.3323
full,training,50,0.8,1.4801
full,validation,50,0.8,1.3985823392868042
full,training,55,0.88,1.4554
full,training,60,0.96,1.3674
full,validation,60,0.96,1.3894842863082886
full,training,65,1.032,1.2792
full,training,70,1.112,0.9884
full,validation,70,1.112,1.4164844751358032
full,training,75,1.192,0.971
full,training,80,1.272,0.9501
full,validation,80,1.272,1.4249029159545898
full,training,85,1.3519999999999999,0.957
full,training,90,1.432,0.969
full,validation,90,1.432,1.4110292196273804
full,training,95,1.512,0.9479
full,training,100,1.592,0.9917
full,validation,100,1.592,1.4113173484802246
full,training,105,1.6720000000000002,1.0055
full,training,110,1.752,0.9529
full,validation,110,1.752,1.4123138189315796
